restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
215367,Buenos Aires Nights Ashford,4.8,(439),Price: Expensive,• Argentinian • Ashford,"21:30, 21:45"
339900,The Kings Arms,4.6,(344),Price: Expensive,• Gastro Pub • Elham,"20:45, 21:00"
143307,Papermakers Arms,4.6,(857),Price: Moderate,• Gastro Pub • Sevenoaks,"20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
454341,The Sage Restaurant at the Swan Innnew,,,Price: Expensive,• Gastro Pub • Ashford,"20:30, 20:45"
162369,The Queens Inn,4.7,(625),Price: Moderate,• British • Cranbrook,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 20:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
405258,Royal Oak,5.0,(4),Price: Moderate,• Pub • Ash,20:30
382770,The Chequers Inn,4.5,(24),Price: Moderate,• Gastro Pub • Ashford,"20:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
208266,Gardenia,3.8,(108),Price: Expensive,• Contemporary French • Ashford,"21:15, 21:30"
157638,The Corner House - Canterbury,4.8,(117),Price: Expensive,• British • Canterbury,"21:15, 21:30"
363324,The Rock Inn at Chiddingstonenew,,,Price: Moderate,• Gastro Pub • Chiddingstone,"20:30*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 20:45*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
391392,The Korean Cowgirl Ashford,4.1,(191),Price: Expensive,• Barbecue • Ashford,"21:15, 21:30"
43537,The Ferry Inn,4.8,(1332),Price: Moderate,• English • Tenterden,"20:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
344004,Lemons Bar,4.9,(18),Price: Moderate,• Cocktail Bar • Tunbridge Wells,"22:45, 23:00"
199140,Citi Terrace,4.1,(577),Price: Moderate,• Fusion / Eclectic • Canterbury,"23:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 23:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 23:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 23:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 00:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
325041,The Woolpack,4.6,(269),Price: Moderate,• Gastro Pub • Ashford,"21:00, 21:15"
204396,Bill's Restaurant & Bar - Bluewater,4.4,(1248),Price: Moderate,• British • Dartford,"20:30, 20:45"
277158,The Chequers,4.9,(26),Price: Moderate,• Gastro Pub • Lamberhurst,"20:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
424722,NH44,5.0,(1),Price: Moderate,• Indian • Gravesend,"21:45, 22:00"
121158,The Abergavenny Arms,4.2,(876),Price: Moderate,• British • Tunbridge Wells,"20:30, 20:45"
375948,Cafe Taj,4.7,(15),Price: Expensive,• Indian • Gravesend,"22:00, 22:15"
213588,The Bricklayers Arms,3.3,(816),Price: Moderate,• Pub • Sevenoaks,"20:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 21:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
99501,The Captain Digby,4.6,(2276),Price: Moderate,• English • Broadstairs,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 20:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
