restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
418530,Old Pal bar and kitchen,4.6,(16),Price: Expensive,• Gastro Pub • Edinburgh,"21:15*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
254817,The Barony Bar,4.4,(179),Price: Moderate,• Pub • Edinburgh,"20:30, 20:45"
113055,The Huxley,4.6,(983),Price: Moderate,• Scottish • Westend,"21:30, 21:45"
167034,Le Bistrot,4.5,(2005),Price: Moderate,• French • Edinburgh,20:30
451230,The Gilded Saloon,4.6,(9),Price: Moderate,• Pub • Old Town,"22:45, 23:00"
248844,Down the Hatch - Antigua Street,4.6,(1418),Price: Expensive,• Canadian • New Town,"21:30, 21:45"
81649,Café St Honoré,4.7,(1891),Price: Very Expensive,• French • New Town,"20:45, 21:00"
442986,Social by Matto,4.2,(32),Price: Moderate,• Italian • Edinburgh,"22:15, 22:30"
443892,The Gruff Goat,4.6,(13),Price: Moderate,• Bistro • Old Town,"22:15*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 22:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
277260,The Mussel and Steak Bar,4.7,(721),Price: Expensive,• Scottish • Old Town,"21:30, 21:45"
126960,Chop House,4.2,(2036),Price: Expensive,• Steak • Edinburgh,"21:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 22:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
112161,Element,4.6,(603),Price: Moderate,• Scottish • New Town,"21:15, 21:30"
158844,The Voyage of Buck,4.8,(808),Price: Expensive,• Contemporary British • Edinburgh,"23:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:15*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 00:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
111915,Merchants,4.7,(167),Price: Expensive,• Scottish • Old Town,"21:30, 21:45"
112428,The Black Bull,4.4,(269),Price: Moderate,• Scottish • Old Town,"22:45, 23:00"
332721,Port of Leith Distillery,4.6,(547),Price: Moderate,• Scottish • Edinburgh,20:30
276303,Nor' Loft,4.6,(529),Price: Moderate,• Scottish • The Royal Mile,"22:30, 22:45"
184134,McLarens on the Corner,4.3,(2214),Price: Moderate,• Scottish • Edinburgh,"22:30, 22:45"
336681,3 Blind Mice,4.7,(430),Price: Expensive,• Pizzeria • Old Town,"21:00, 21:15"
366861,Hot Toddy,5.0,(1),Price: Expensive,• Scottish • New Town,"20:45, 21:00"
262719,Pho Edinburgh,4.4,(732),Price: Moderate,• Vietnamese • Edinburgh,"21:00, 21:15"
425778,PizzaExpress Edinburgh - George IV Bridge,,(0),Price: Moderate,• Pizzeria • Old Town,"21:00, 21:15"
165369,Boozy Cow,4.4,(736),Price: Moderate,• Burgers • Edinburgh,"21:30, 21:45"
177225,La Casa - Leith,4.7,(1263),Price: Moderate,• Spanish • Leith Walk,"21:00, 21:15"
113088,Miros Cantina,3.8,(33),Price: Moderate,• Mexican • New Town,"21:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
278799,Pizzeria 1926,4.8,(161),Price: Moderate,• Italian • Edinburgh,"21:15, 21:30"
112749,Heads & Tales,5.0,(164),Price: Moderate,• Cocktail Bar • Westend,"23:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 23:15*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 23:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 23:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 00:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
104748,No11,4.7,(531),Price: Expensive,• Scottish • New Town,20:30
384486,Matto Pizza - Newington,4.7,(23),Price: Moderate,• Pizzeria • Edinburgh,20:30
372867,The Court,4.3,(120),Price: Expensive,• Scottish • New Town,"21:45, 22:00"
